ID,CollegeName,CourseName,Caste
1298," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Mechanical Engineering,GSCS
1299," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Mechanical Engineering,GSTS
1300," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Mechanical Engineering,GVJS
1301," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Mechanical Engineering,GOBCS
1302," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Mechanical Engineering,GNT1S
1303," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Mechanical Engineering,LOPENS
1304," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Mechanical Engineering,LSCS
1305," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Mechanical Engineering,LSTS
1306," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Mechanical Engineering,LVJS
1307," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Mechanical Engineering,LOBCS
1308," Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Mechanical Engineering,LNT1S
1405," Genba Sopanrao Moze College of Engineering, Baner",Civil Engineering,GOPENS
1406," Genba Sopanrao Moze College of Engineering, Baner",Civil Engineering,GSCS
1407," Genba Sopanrao Moze College of Engineering, Baner",Civil Engineering,GSTS
1408," Genba Sopanrao Moze College of Engineering, Baner",Civil Engineering,GVJS
1409," Genba Sopanrao Moze College of Engineering, Baner",Civil Engineering,GOBCS
1410," Genba Sopanrao Moze College of Engineering, Baner",Civil Engineering,GNT1S
1411," Genba Sopanrao Moze College of Engineering, Baner",Civil Engineering,LOPENS
1412," Genba Sopanrao Moze College of Engineering, Baner",Civil Engineering,LSCS
1413," Genba Sopanrao Moze College of Engineering, Baner",Civil Engineering,LSTS
1414," Genba Sopanrao Moze College of Engineering, Baner",Civil Engineering,LVJS
1415," Genba Sopanrao Moze College of Engineering, Baner",Civil Engineering,LOBCS
1416," Genba Sopanrao Moze College of Engineering, Baner",Civil Engineering,LNT1S
1453," Genba Sopanrao Moze College of Engineering, Baner",Mechanical Engineering,GOPENS
1454," Genba Sopanrao Moze College of Engineering, Baner",Mechanical Engineering,GSCS
1455," Genba Sopanrao Moze College of Engineering, Baner",Mechanical Engineering,GSTS
1456," Genba Sopanrao Moze College of Engineering, Baner",Mechanical Engineering,GVJS
1457," Genba Sopanrao Moze College of Engineering, Baner",Mechanical Engineering,GOBCS
1458," Genba Sopanrao Moze College of Engineering, Baner",Mechanical Engineering,GNT1S
1459," Genba Sopanrao Moze College of Engineering, Baner",Mechanical Engineering,LOPENS
1460," Genba Sopanrao Moze College of Engineering, Baner",Mechanical Engineering,LSCS
1461," Genba Sopanrao Moze College of Engineering, Baner",Mechanical Engineering,LSTS
1462," Genba Sopanrao Moze College of Engineering, Baner",Mechanical Engineering,LVJS
1463," Genba Sopanrao Moze College of Engineering, Baner",Mechanical Engineering,LOBCS
1464," Genba Sopanrao Moze College of Engineering, Baner",Mechanical Engineering,LNT1S
1585," JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electrical Engineering,GOPENS
1586," JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electrical Engineering,GSCS
1587," JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electrical Engineering,GSTS
